Street,Zip,"",Lo,High,School,Odd/Even
New Willow Street,08638,"","","",Rivera Middle,"*Becomes Princess Diana Ln, Ewing"
New York Avenue,08638,"",1,599,Columbus Elementary,""
New York Avenue,08638,"",600,End,Wilson Elementary,""
New York Avenue,08638,"",1,599,Rivera Middle,""
New York Avenue,08638,"",600,End,Rivera Middle,""
Newell Avenue,08618,"","","",Jefferson Elementary,""
Newell Avenue,08618,"","","",Kilmer Middle School,""
Niagra Alley,08618,"","","",Jefferson Elementary,""
Niagra Alley,08618,"","","",Kilmer Middle,""
Nordacs Street,08618,"","","",Jefferson Elementary,""
Nordacs Street,08618,"","","",Kilmer Middle School,""
Norman Avenue,08618,"","","",Jefferson Elementary,""
Norman Avenue,08618,"","","",Kilmer Middle School,""
North Alley,08618,"","","",King Elementary,""
North Alley,08618,"","","",Rivera Middle,""
Norwood Place,08611,"","","",Mott Elementary,""
Norwood Place,08611,"","","",Dunn Middle,""
Oak Lane,08618,"","","",Jefferson Elementary,""
Oak Lane,08618,"","","",Kilmer Middle School,""
Oak Street,08638,"","","",Wilson Elementary,""
Oak Street,08638,"","","",Rivera Middle,""
Oakland Street,08618,"","","",Jefferson Elementary,""
Oakland Street,08618,"","","",Kilmer Middle School,""
Ogden Street,08609,"","","",Grant Elementary,""
Ogden Street,08609,"","","",Rivera Middle,""
Ohio Avenue,08638,"","","",Columbus Elementary,""
Ohio Avenue,08638,"","","",Rivera Middle,""
Old Rose Street,08618,"","","",King Elementary,""
Old Rose Street,08618,"","","",Rivera Middle,""
Olden Avenue North,08638,"",1,100,Hill Elementary,""
Olden Avenue North,08638,"",102,1333,Wilson Elementary,Last even 1330/Last odd 1333
Olden Avenue North,08629,"",1,1333,Hg-Wms. Middle,""
Olden Avenue South,08629,"",161,715,Robeson Elementary,Last even 506/Last odd 715
Olden Avenue South,08629,"",1,160,Hill Elementary,""
Olden Avenue South,08629,"",1,715,Hg-Wms. Middle,Last even 506/Last odd 715
Olive Street,08618,"","","",King Elementary,""
Olive Street,08618,"","","",Rivera Middle,""
Oliver Avenue,08618,"","","",Jefferson Elementary,""
Oliver Avenue,08618,"","","",Kilmer Middle School,""
Orange Street,08611,"","","",Dunn Middle,""
Overbrook Avenue North,08618,"","","",Gregory Elementary,""
Overbrook Avenue North,08618,"","","",Kilmer Middle School,""
Overbrook Avenue South,08618,"","","",Gregory Elementary,""
Overbrook Avenue South,08618,"","","",Kilmer Middle School,""
Oxford Street,08638,"","","",King Elementary,""
Oxford Street,08638,"","","",Rivera Middle,""
Park Avenue,08629,"","","",Robeson Elementary,""
Park Avenue,08629,"","","",Hg-Wms. Middle,""
Parker Avenue,08609,"","","",Hill Elementary,""
Parker Avenue,08609,"","","",Hg-Wms. Middle,""
Parkside Avenue,08618,"",1,942,Jefferson Elementary,Last even 942/Last odd 929
Parkside Avenue,08618,"",1,942,Kilmer Middle School,Last even 942/Last odd 929
Parkway Avenue,08618,"",1,539,Jefferson Elementary,Odd only
Parkway Avenue,08618,"",1,539,Kilmer Middle School,Odd only
Pashley Avenue,08618,"","","",Gregory Elem (Monument),""
Pashley Avenue,08618,"","","",Rivera Middle,""
Passaic Street,08618,"","","",Gregory Elem (Monument),""
Passaic Street,08618,"","","",Rivera Middle,""
Paul Avenue East,08638,"","","",King Elementary,""
Paul Avenue East,08638,"","","",Rivera Middle,""
Paul Avenue West,08638,"","","",King Elementary,""
Paul Avenue West,08638,"","","",Rivera Middle,""
Peace Street,08608,"","","",Parker Elementary,""
Peace Street,08608,"","","",Dunn Middle,""
Pearl Street,08609,"","","",Robbins Elementary,""
Pearl Street,08609,"","","",Hg-Wms. Middle,""
Pennington Avenue,08618,"",1,99,King Elementary,""
Pennington Avenue,08618,"",100,600,Gregory Elem (Monument),""
Pennington Avenue,08618,"",671,909,Jefferson Elementary,Last Even 834/Last odd 909
Pennington Avenue,08618,"",1,600,Rivera Middle,""
Pennington Avenue,08618,"",601,909,Kilmer Middle School,Last Even 834/Last odd 909
Pennsylvania Avenue,08638,"","","",Columbus Elementary,""
Pennsylvania Avenue,08638,"","","",Rivera Middle,""
Perdicaris Place,08618,"","","",Gregory Elementary,""
Perdicaris Place,08618,"","","",Kilmer Middle School,""
Perrine Avenue,08638,"","","",Grant Elementary,""
Perrine Avenue,08638,"","","",Rivera Middle,""
Perry Street,08618,"",1,350,King Elementary,*No numbers between 350 & 500
Perry Street,08618,"",500,End,Grant Elementary,*No numbers between 350 & 500
Perry Street,08618,"","","",Rivera Middle,""
Phillips Avenue,08638,"","","",King Elementary,""
Phillips Avenue,08638,"","","",Rivera Middle,""
Phillips Court,08618,"","","",Gregory Elementary,""
Phillips Court,08618,"","","",Kilmer Middle School,""
Pierce Avenue,08629,"","","",Robeson Elementary,""
Pierce Avenue,08629,"","","",Hg-Wms. Middle,""
Pine Street,08638,"",600,830,Rivera Middle,""
Plum Street,08638,"","","",Columbus Elementary,""
Plum Street,08638,"","","",Rivera Middle,""
Poplar Street,08638,"","","",Wilson Elementary,""
Poplar Street,08638,"","","",Rivera Middle,""
Pottery Lane,08609,"","","",Grant Elementary,""
Pottery Lane,08609,"","","",Rivera Middle,""
Potts Alley,08618,"","","",Gregory Elem (Monument),""
Potts Alley,08618,"","","",Rivera Middle,""
Power Street,08611,"","","",Parker Elementary,""
Power Street,08611,"","","",Dunn Middle,""
Prince Street,08638,"","","",Wilson Elementary,""
Prince Street,08638,"","","",Rivera Middle,""
Princeton Avenue,08638,"",1300,1350,King Elementary,Even Only
Princeton Avenue,08638,"",1352,1570,Columbus Elementary,Even Only
Princeton Avenue,08638,"",1300,1570,Rivera Middle,Even Only
Proctor Avenue,08618,"","","",King Elementary,""
Proctor Avenue,08618,"","","",Rivera Middle,""
Prospect Street,08618,"",1,310,Gregory Elementary,""
Prospect Street,08618,"",400,942,Gregory Elem (Monument),Last even 942/Last odd 853
Prospect Street,08618,"",1,310,Kilmer Middle School,""
Prospect Street,08618,"",400,942,Rivera Middle,Last even 942/Last odd 853
Prospect Village,08618,"","","",Gregory Elem (Monument),""
Prospect Village,08618,"","","",Rivera Middle,""
Quinton Avenue,08629,"","","",Robeson Elementary,""
Quinton Avenue,08629,"","","",Hg-Wms. Middle,""
Race Street,08638,"","","",King Elementary,""
Race Street,08638,"","","",Rivera Middle,""
Randall Avenue,08611,"","","",Columbus Elem (Harrison),""
Randall Avenue,08611,"","","",Dunn Middle,""
Raritan Alley,08618,"","","",Gregory Elem (Monument),""
Raritan Alley,08618,"","","",Rivera Middle,""
Reading Avenue,08618,"","","",Jefferson Elementary,""
Reading Avenue,08618,"","","",Kilmer Middle School,""
Remsen Avenue,08610,"","","",Franklin Elementary,""
Remsen Avenue,08610,"","","",Dunn Middle,""
Renfrew Avenue,08618,"","","",Jefferson Elementary,""
Renfrew Avenue,08618,"","","",Kilmer Middle School,""
Reservoir Street,08618,"","","",Gregory Elem (Monument),""
Reservoir Street,08618,"","","",Rivera Middle,""
Revere Avenue,08629,"","","",Robeson Elementary,""
Revere Avenue,08629,"","","",Hg-Wms. Middle,""
Richey Place,08618,"","","",Gregory Elementary,""
Richey Place,08618,"","","",Kilmer Middle School,""
Rider Avenue,08609,"","","",Grant Elementary,""
Rider Avenue,08609,"","","",Rivera Middle,""
Ringold Street,08618,"","","",King Elementary,""
River Drive,08618,"","","",Jefferson Elementary,""
River Drive,08618,"","","",Kilmer Middle School,""
Riverside Avenue,08618,"",1,732,Gregory Elementary,""
Riverside Avenue,08618,"",800,End,Jefferson Elementary,""
Riverside Avenue,08618,"","","",Kilmer Middle School,""
Riverside Drive,08618,"","","",Jefferson Elementary,""
Riverside Drive,08618,"","","",Kilmer Middle School,""
Roebling Avenue,08611,"",1,199,Columbus Elem (Harrison),""
Roebling Avenue,08611,"",200,End,Washington Elementary,""
Roebling Avenue,08611,"",1,922,Dunn Middle,""
Roebling Avenue,08629,"",923,"",Hg-Wms. Middle,Currently no homes
Rogers Avenue,08618,"","","",Jefferson Elementary,""
Rogers Avenue,08618,"","","",Kilmer Middle School,""
Roosevelt Street,08618,"",567,588,King Elementary,567 through 588 only
Roosevelt Street,08618,"",567,588,Rivera Middle,567 through 588 only
Rosemont Avenue,08618,"","","",Gregory Elementary,""
Rosemont Avenue,08618,"","","",Kilmer Middle School,""
Rossell Avenue,08638,"",1,195,King Elementary,""
Rossell Avenue,08638,"",1,195,Rivera Middle,""
Rushng Street,08611,"","","",Dunn Middle,""
Rusling Street,08611,"",1,199,Columbus Elem (Harrison),""
Rusling Street,08611,"",200,End,Franklin Elementary,""
Rutgers Place,08618,"","","",Gregory Elementary,""
Rutgers Place,08618,"","","",Kilmer Middle School,""
Rutherford Avenue,08618,"","","",Gregory Elementary,""
Rutherford Avenue,08618,"","","",Kilmer Middle School,""
Saint Francis Avenue,08629,"","","",Robeson Elementary,""
Saint Francis Avenue,08629,"","","",Hg-Wms. Middle,""
Saint Joes Avenue,08638,"","","",Wilson Elementary,""
Saint Joes Avenue,08638,"","","",Rivera Middle,""
Sanford Street,08618,"","","",King Elementary,""
Sanford Street,08618,"","","",Rivera Middle,""
Sanhican Drive,08618,"","","",Jefferson Elementary,""
Sanhican Drive,08618,"","","",Kilmer Middle School,""
Schenck Street,08611,"","","",Mott Elementary,""
Schenck Street,08611,"","","",Dunn Middle,""
School Lane,08618,"","","",Jefferson Elementary,""
School Lane,08618,"","","",Kilmer Middle School,""
Second Street,08611,"","","",Mott Elementary,""
Second Street,08611,"","","",Dunn Middle,""
Seward Avenue,08609,"","","",Grant Elementary,""
Seward Avenue,08609,"","","",Rivera Middle,""
Shelburne Avenue,08618,"","","",Jefferson Elementary,""
Shelburne Avenue,08618,"","","",Kilmer Middle School,""
Sheppards Alley,08638,"","","",Rivera Middle,""
Sheppard's Alley,08638,"","","",King Elementary,""
Sheridan Avenue,08609,"","","",Grant Elementary,""
Sherman Avenue,08638,"","","",Wilson Elementary,""
Sherman Avenue,08638,"","","",Rivera Middle,""
Short Street,08618,"","","",Gregory Elem (Monument),""
Short Street,08618,"","","",Rivera Middle,""
Siegel Alley,08638,"","","",King Elementary,""
Siegel Alley,08638,"","","",Rivera Middle,""
Smith Street,08611,"",1,800,Columbus Elem (Harrison),""
Smith Street,08611,"",801,End,Franklin Elementary,""
Smith Street,08611,"",1,End,Dunn Middle,""
Southard Street,08638,"",1,399,Grant Elementary,""
Southard Street,08638,"",400,1092,King Elementary,1000-1092 Even Only - Donnelly Homes
Southard Street,08638,"",1,1092,Rivera Middle,1000-1092 Even Only - Donnelly Homes
Spring Street,08618,"","","",Gregory Elem (Monument),""
Spring Street,08618,"","","",Rivera Middle,""
Spruce Street,08638,"","","",Columbus Elementary,Last even 826/Last odd 921
Spruce Street,08638,"",1,921,Rivera Middle,Last even 826/Last odd 921
Stacy Avenue,08618,"","","",Jefferson Elementary,""
Stacy Avenue,08618,"","","",Kilmer Middle School,""
Stanley Avenue,08618,"","","",Jefferson Elementary,""
Stanley Avenue,08618,"","","",Kilmer Middle School,""
Stanton Street,08618,"","","",Franklin Elementary,""
Stanton Street,08610,"","","",Dunn Middle,""
State Street East,08609,"",1,799,Grant Elementary,""
State Street East,08609,"",800,1303,Hill Elementary,Last even 1292/Last odd 1303
State Street East,08608,"",1,799,Rivera Middle,""
State Street East,08609,"",800,1303,Hg-Wms. Middle,Last even 1292/Last odd 1303
State Street West,08608,"",1,50,King Elementary,""
State Street West,08618,"",100,799,Gregory Elementary,""
State Street West,08618,"",800,End,Jefferson Elementary,""
State Street West,08608,"",1,50,Rivera Middle,""
State Street West,08608,"",100,End,Kilmer Middle School,""
Steamboat Street,08611,"","","",Parker Elementary,""
Steamboat Street,08611,"","","",Dunn Middle,""
Stevens Alley,08609,"","","",Robbins Elementary,""
Stevens Alley,08609,"","","",Hg-Wms. Middle,""
Stockton Place,08611,"","","",Parker Elementary,Currently no homes
Stockton Place,08611,"","","",Dunn Middle,Currently no homes
Stockton Street North,08618,"","","",King Elementary,""
Stockton Street North,08618,"","","",Rivera Middle,""
Stockton Street South,08611,"","","",Parker Elementary,""
Stockton Street South,08611,"","","",Dunn Middle,""
Stokely Avenue,08611,"","","",Mott Elementary,""
Stokely Avenue,08611,"","","",Dunn Middle,""
Stokes Avenue,08638,"","","",Columbus Elementary,""
Stokes Avenue,08638,"","","",Rivera Middle,""
Strawberry Street,08638,"","","",Wilson Elementary,""
Strawberry Street,08638,"","","",Rivera Middle,""
Stuyvesant Avenue,08618,"",801,1528,Jefferson Elementary,last even 1524/last odd 1529
Stuyvesant Avenue,08618,"",1,1528,Kilmer Middle School,Last even 1524/Last odd 1529
Sullivan Way,08618,"","","",Jefferson Elementary,""
Sullivan Way,08618,"","","",Kilmer Middle School,""
Summer Street,08618,"","","",Gregory Elem (Monument),""
Summer Street,08618,"","","",Rivera Middle,""
Swan Street,08611,"","","",Washington Elementary,""
Swan Street,08611,"","","",Dunn Middle,""
Sweets Avenue,08618,"","","",King Elementary,""
Sweets Avenue,08618,"","","",Rivera Middle,""
Sylvester Street,08638,"","","",King Elementary,""
Sylvester Street,08638,"","","",Rivera Middle,""
Taylor Street,08638,"","","",Wilson Elementary,""
Taylor Street,08638,"","","",Rivera Middle,""
Temple Street,08611,"","","",Mott Elementary,""
Temple Street,08611,"","","",Dunn Middle,""
Third Street,08611,"","","",Mott Elementary,""
Third Street,08611,"","","",Dunn Middle,""
Thompson Avenue,08609,"","","",Robbins Elementary,""
Thompson Avenue,08609,"","","",Hg-Wms. Middle,""
Tilton Alley,08611,"","","",Mott Elementary,""
Tilton Alley,08611,"","","",Dunn Middle,""
Tioga Street,08609,"","","",Robeson Elementary,""
Tioga Street,08609,"","","",Hg-Wms. Middle,""
Titus Avenue,08618,"","","",King Elementary,""
Titus Avenue,08618,"","","",Rivera Middle,""
Tremont Street,08611,"","","",Columbus Elem (Harrison),""
Tremont Street,08611,"","","",Dunn Middle,""
Trent Avenue,08618,"",1,155,King Elementary,""
Trent Avenue,08618,"",1,155,Rivera Middle,Last even 152/Last odd 155
Trenton Avenue - East,08638,"","","",Wilson Elementary,""
Trenton Avenue - East,08638,"","","",Rivera Middle,""
Tucker Street,08618,"","","",King Elementary,""
Tucker Street,08618,"","","",Rivera Middle,""
Turpin Street,08618,"","","",Mott Elementary,""
Turpin Street,08611,"","","",Dunn Middle,""
Tyler Street,08609,"","","",Robbins Elementary,""
Tyler Street,08609,"","","",Hg-Wms. Middle,""
Tyrell Avenue,08638,"","","",Grant Elementary,""
Tyrell Avenue,08638,"","","",Rivera Middle,""
Union Street,08611,"","","",Parker Elementary,""
Union Street,08611,"","","",Dunn Middle,""
Vine Street,08638,"","","",King Elementary,""
Vine Street,08638,"","","",Rivera Middle,""
Violet Street,08618,"","","",King Elementary,""
Violet Street,08618,"","","",Rivera Middle,""
Virginia Avenue,08611,"",1,199,Columbus Elem (Harrison),""
Virginia Avenue,08611,"","","",Dunn Middle,""
Vroom Street,08610,"","","",Franklin Elementary,""
Vroom Street,08610,"","","",Dunn Middle,""
Wainwright Avenue,08618,"","","",King Elementary,""
Wainwright Avenue,08618,"","","",Rivera Middle,""
Walkett Alley,08611,"","","",Robbins Elementary,Part of the Washington area that
Walklett Alley,08611,"","","",Dunn Middle,needs to be looked at
Wall Street,08609,"","","",Grant Elementary,""
Wall Street,08609,"","","",Rivera Middle,""
Walnut Avenue,08609,"",1,99,Robbins Elementary,""
Walnut Avenue,08609,"",100,Line,Hill Elementary,""
Walnut Avenue,08609,"","","",Hg-Wms. Middle,""
Walter Avenue North,08629,"","","",Hill Elementary,""
Walter Avenue North,08609,"","","",Hg-Wms. Middle,""
Walter Avenue South,08629,"",1,148,Hill Elementary,""
Walter Avenue South,08629,"",225,End,Robeson Elementary,""
Walter Avenue South,08629,"","","",Hg-Wms. Middle,""
Ward Avenue,08609,"","","",Hill Elementary,""
Ward Avenue,08609,"","","",Hg-Wms. Middle,""
Warren Street North,08618,"","","",King Elementary,""
Warren Street North,08618,"","","",Rivera Middle,""
Warren Street South,08611,"","","",Parker Elementary,""
Warren Street-South,08611,"","","",Dunn Middle,""
Washington Street,08611,"",1,80,Robbins Elementary,""
Washington Street,08611,"",81,630,Washington Elementary,""
Washington Street,08611,"",631,End,Franklin Elementary,""
Washington Street,08611,"",1,80,Hg-Wms. Middle,""
Washington Street,08611,"",81,End,Dunn Middle,""
Watson Street,08611,"","","",Columbus Elem (Harrison),""
Watson Street,08611,"","","",Dunn Middle,""
Wayne Avenue,08618,"","","",King Elementary,""
Wayne Avenue,08618,"","","",Rivera Middle,""
Webster Street,08638,"","","",Wilson Elementary,""
Webster Street,08638,"","","",Rivera Middle,""
Weinberg Place,08638,"","","",Columbus Elementary,""
Weinberg Place,08638,"","","",Rivera Middle,""
West End Avenue,08618,"","","",Gregory Elementary,""
West End Avenue,08618,"","","",Kilmer Middle School,""
West Street,08611,"","","",Franklin Elementary,""
West Street,08611,"","","",Dunn Middle,""
Westfield Avenue North,08618,"","","",Jefferson Elementary,""
Westfield Avenue North,08618,"","","",Kilmer Middle School,""
Westfield Avenue South,08618,"","","",Jefferson Elementary,""
Westfield Avenue South,08618,"","","",Kilmer Middle School,""
Westminister Avenue,08618,"","","",Jefferson Elementary,""
Westminister Avenue,08618,"","","",Kilmer Middle School,""
White Street,08618,"","","",Gregory Elem (Monument),""
Whittaker Avenue,08611,"",1,299,Robbins Elementary,""
Whittaker Avenue,08611,"",300,End,Washington Elementary,""
Whittaker Avenue,08611,"",1,299,Hg-Wms. Middle,""
Whittaker Avenue,08611,"",300,End,Dunn Middle,""
Whittier Avenue,08618,"","","",Jefferson Elementary,""
Whittier Avenue,08618,"","","",Kilmer Middle School,""
Whittlesey Road,08618,"","","",Jefferson Elementary,""
Whittlesey Road,08618,"","","",Kilmer Middle School,""
Wiley Avenue,08638,"",1,168,King Elementary,""
Wiley Avenue,08638,"",1,168,Rivera Middle,""
Wilkinson Place,08618,"","","",Gregory Elem (Monument),""
Wilkinson Place,08618,"","","",Rivera Middle,""
William Street,08610,"",1,743,Franklin Elementary,Last even 726/Last odd 743
William Street,08610,"",1,743,Dunn Middle,Last even 726/Last odd 743
Willow Street North,08618,"",1,418,Gregory Elem (Monument),""
Willow Street North,08618,"","","",Rivera Middle,""
Willow Street South,08608,"","","",Parker Elementary,""
Willow Street South,08608,"","","",Rivera Middle,""
Wilson Street,08618,"","","",Gregory Elem (Monument),""
Wilson Street,08618,"","","",Rivera Middle,""
Winder Avenue,08609,"","","",Hill Elementary,""
Winder Avenue,08609,"","","",Hg-Wms. Middle,""
Winter Street,08618,"","","",Gregory Elem (Monument),""
Winter Street,08618,"","","",Rivera Middle,""
Winthrop Court,08618,"","","",Gregory Elem (Monument),""
Winthrop Court,08618,"","","",Rivera Middle,""
Wolverton Street,08611,"","","",Columbus Elem (Harrison),""
Wolverton Street,08611,"","","",Dunn Middle,""
Wood Street,08618,"","","",Grant Elementary,""
Wood Street,08618,"","","",Rivera Middle,""
Woodland Street,08611,"",1,99,Columbus Elem (Harrison),5th graders to Franklin
Woodland Street,08611,"",100,727,Franklin Elementary,""
Woodland Street,08611,"",1,727,Dunn Middle,last even 520/last odd 727
Woodside Avenue,08618,"","","",Jefferson Elementary,""
Woodside Avenue,08618,"","","",Kilmer Middle School,""
Yard Avenue,08609,"","","",Grant Elementary,""
